Tweet,Polarity,Subjectivity
"RT @CBSNews: While meeting with auto executives, Pres. Trump claims current U.S. environmental permit process is ""unfriendly"" https://t.co/…",0.0,0.4
This week the issue is not Trump. It is ourselves.  #US  https://t.co/34hI8pjFhv,0.0,0.0
"RT @CNBC: BREAKING: President Trump to advance the Keystone and Dakota Access pipelines with executive orders today, senior official tells…",0.0,0.0
RT @LoveStephanysco: SNL Writer Katie Rich FIRED After Disgusting Tweet About Barron Trump https://t.co/7XHFMg8MkH https://t.co/x5ydDE2CHY,-0.3125,0.875
"Another day, another round of Senate confirmation hearings for Team Trump. https://t.co/oFXpEuZ2Of",-0.2,0.4
RT @WesleyLowery: this deserves more coverage than it's gotten: journalists arrested covering inauguration protests charged w/FELONIES http…,0.5,0.5
RT @ggreenwald: Amazing how Dem pundits angrily attacked Sanders for his long-standing TPP position but are now silent on 14 Dems approving…,0.03333333333333336,0.6666666666666666
Donald Trump: STOP THE KILLING IN TAIJI!! - Assine o abaixo-assinado! https://t.co/hr7hC84pnZ,0.0,0.0
"RT @TheDemCoalition: BREAKING: Trump expected to sign executive actions to advance Keystone, Dakota Access pipelines https://t.co/eDWrtBZkna",-0.1,0.4
RT @The_Trump_Train: RETWEET if you like how President Trump is already delivering results! #MakeAmericaGreatAgain,0.0,0.0
RT @ajplus: The Donald Trump era has begun and it's already off to a troubling start for Palestine. https://t.co/AHnzbjxJZN,0.0,0.0
RT @Drone1969: @SecretService @NewYorkFBI @FBIWFO @FBI @DHSgov @NSAGov @MSNBC @maddow Rachel Maddow subversive support for Trump Assasinati…,0.0,0.0
RT @Breaking911: WATCH: Angry Liberal Kicked Off Plane For Harassing Trump Supporter - https://t.co/aOp8yg5uI7 https://t.co/s0GDbDinMe,-0.5,1.0
RT @guardian: This photo sums up Trump’s assault on women’s rights | Rhiannon Lucy Cosslett https://t.co/ouO95hVDrq,0.0,0.0
"RT @wikileaks: Donald Trump, the casino business &amp; the FBI https://t.co/7Cp1MW8lEC",0.0,0.0
